,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores
358,2,manhattan,9,10,3,"[0.7384649511978705, 0.7492776172482774]"
359,2,manhattan,9,10,4,"[0.7406832298136646, 0.7357190486774838]"
360,2,manhattan,10,1,0,"[0.5944986690328306, 0.5750166703711936]"
361,2,manhattan,10,1,1,"[0.6104702750665484, 0.5939097577239386]"
362,2,manhattan,10,1,2,"[0.6106921029281278, 0.5774616581462547]"
363,2,manhattan,10,1,3,"[0.5940550133096717, 0.5979106468104023]"
364,2,manhattan,10,1,4,"[0.5882874889086069, 0.6023560791286953]"
365,2,manhattan,10,5,0,"[0.7018633540372671, 0.7039342076016892]"
366,2,manhattan,10,5,1,"[0.7180567879325643, 0.7297177150477884]"
367,2,manhattan,10,5,2,"[0.7102928127772848, 0.7170482329406535]"
368,2,manhattan,10,5,3,"[0.7040816326530612, 0.7230495665703489]"
369,2,manhattan,10,5,4,"[0.7273735581188997, 0.6999333185152256]"
370,2,manhattan,10,10,0,"[0.7484472049689441, 0.75083351855968]"
371,2,manhattan,10,10,1,"[0.7486690328305236, 0.7503889753278506]"
372,2,manhattan,10,10,2,"[0.7504436557231589, 0.7499444320960214]"
373,2,manhattan,10,10,3,"[0.7384649511978705, 0.7526116914869971]"
374,2,manhattan,10,10,4,"[0.7440106477373558, 0.7403867526116915]"
375,2,manhattan,11,1,0,"[0.6018189884649512, 0.5812402756168037]"
376,2,manhattan,11,1,1,"[0.6164596273291926, 0.5939097577239386]"
377,2,manhattan,11,1,2,"[0.6091393078970718, 0.5772393865303401]"
378,2,manhattan,11,1,3,"[0.5969387755102041, 0.5947988441875972]"
379,2,manhattan,11,1,4,"[0.5849600709849158, 0.6003556345854635]"
380,2,manhattan,11,5,0,"[0.7167258207630879, 0.7106023560791287]"
381,2,manhattan,11,5,1,"[0.718944099378882, 0.7297177150477884]"
382,2,manhattan,11,5,2,"[0.7089618456078084, 0.7172705045565682]"
383,2,manhattan,11,5,3,"[0.69698314108252, 0.7257168259613247]"
384,2,manhattan,11,5,4,"[0.7278172138420586, 0.6988219604356524]"
385,2,manhattan,11,10,0,"[0.748890860692103, 0.7506112469437652]"
386,2,manhattan,11,10,1,"[0.7475598935226264, 0.7503889753278506]"
387,2,manhattan,11,10,2,"[0.7517746228926353, 0.748833074016448]"
388,2,manhattan,11,10,3,"[0.7426796805678794, 0.7519448766392531]"
389,2,manhattan,11,10,4,"[0.7444543034605147, 0.7403867526116915]"
390,2,manhattan,12,1,0,"[0.6018189884649512, 0.5745721271393643]"
391,2,manhattan,12,1,1,"[0.6082519964507542, 0.59302067126028]"
392,2,manhattan,12,1,2,"[0.6106921029281278, 0.5752389419871082]"
393,2,manhattan,12,1,3,"[0.5944986690328306, 0.6016892642809514]"
394,2,manhattan,12,1,4,"[0.5871783496007098, 0.6005779062013781]"
395,2,manhattan,12,5,0,"[0.7165039929015085, 0.7081573683040676]"
396,2,manhattan,12,5,1,"[0.7133984028393966, 0.7286063569682152]"
397,2,manhattan,12,5,2,"[0.7038598047914818, 0.7159368748610803]"
398,2,manhattan,12,5,3,"[0.6989795918367347, 0.718604134252056]"
399,2,manhattan,12,5,4,"[0.7187222715173026, 0.6988219604356524]"
400,2,manhattan,12,10,0,"[0.748890860692103, 0.7499444320960214]"
401,2,manhattan,12,10,1,"[0.7477817213842058, 0.7506112469437652]"
402,2,manhattan,12,10,2,"[0.7517746228926353, 0.7481662591687042]"
403,2,manhattan,12,10,3,"[0.7411268855368234, 0.7521671482551678]"
404,2,manhattan,12,10,4,"[0.7455634427684117, 0.7403867526116915]"
405,2,manhattan,13,1,0,"[0.6038154392191659, 0.5787952878417426]"
406,2,manhattan,13,1,1,"[0.599600709849157, 0.5990220048899756]"
407,2,manhattan,13,1,2,"[0.610248447204969, 0.5745721271393643]"
408,2,manhattan,13,1,3,"[0.5911712511091393, 0.6012447210491221]"
409,2,manhattan,13,1,4,"[0.5896184560780834, 0.6083574127583907]"
410,2,manhattan,13,5,0,"[0.7158385093167702, 0.7092687263836408]"
411,2,manhattan,13,5,1,"[0.709849157054126, 0.7301622582796177]"
412,2,manhattan,13,5,2,"[0.7031943212067435, 0.7150477883974217]"
413,2,manhattan,13,5,3,"[0.6847826086956522, 0.7192709490997999]"
414,2,manhattan,13,5,4,"[0.7180567879325643, 0.695932429428762]"
415,2,manhattan,13,10,0,"[0.748890860692103, 0.7499444320960214]"
416,2,manhattan,13,10,1,"[0.7475598935226264, 0.748833074016448]"
417,2,manhattan,13,10,2,"[0.7508873114463177, 0.7483885307846188]"
418,2,manhattan,13,10,3,"[0.7468944099378882, 0.7521671482551678]"
419,2,manhattan,13,10,4,"[0.7457852706299911, 0.7441653700822405]"
420,2,manhattan,14,1,0,"[0.6038154392191659, 0.5776839297621694]"
421,2,manhattan,14,1,1,"[0.6007098491570542, 0.6039119804400978]"
422,2,manhattan,14,1,2,"[0.610248447204969, 0.5727939542120472]"
423,2,manhattan,14,1,3,"[0.589396628216504, 0.6012447210491221]"
424,2,manhattan,14,1,4,"[0.5900621118012422, 0.6119137586130251]"
425,2,manhattan,14,5,0,"[0.7158385093167702, 0.7086019115358969]"
426,2,manhattan,14,5,1,"[0.7067435669920142, 0.7208268504112025]"
427,2,manhattan,14,5,2,"[0.7031943212067435, 0.7070460102244943]"
428,2,manhattan,14,5,3,"[0.6881100266193434, 0.7192709490997999]"
429,2,manhattan,14,5,4,"[0.7180567879325643, 0.6974883307401645]"
430,2,manhattan,14,10,0,"[0.748890860692103, 0.7506112469437652]"
431,2,manhattan,14,10,1,"[0.7475598935226264, 0.75083351855968]"
432,2,manhattan,14,10,2,"[0.7508873114463177, 0.7479439875527895]"
433,2,manhattan,14,10,3,"[0.7420141969831411, 0.7521671482551678]"
434,2,manhattan,14,10,4,"[0.7460070984915705, 0.7437208268504112]"
435,2,manhattan,15,1,0,"[0.6033717834960071, 0.5796843743054012]"
436,2,manhattan,15,1,1,"[0.6035936113575865, 0.6041342520560125]"
437,2,manhattan,15,1,2,"[0.6095829636202307, 0.5743498555234496]"
438,2,manhattan,15,1,3,"[0.5913930789707187, 0.5954656590353412]"
439,2,manhattan,15,1,4,"[0.5896184560780834, 0.6081351411424761]"
440,2,manhattan,15,5,0,"[0.7165039929015085, 0.7081573683040676]"
441,2,manhattan,15,5,1,"[0.7067435669920142, 0.7212713936430318]"
442,2,manhattan,15,5,2,"[0.7036379769299024, 0.707268281840409]"
443,2,manhattan,15,5,3,"[0.6838952972493345, 0.7137141587019338]"
444,2,manhattan,15,5,4,"[0.7180567879325643, 0.6972660591242499]"
445,2,manhattan,15,10,0,"[0.748890860692103, 0.7506112469437652]"
446,2,manhattan,15,10,1,"[0.7475598935226264, 0.75083351855968]"
447,2,manhattan,15,10,2,"[0.7508873114463177, 0.7479439875527895]"
448,2,manhattan,15,10,3,"[0.7422360248447205, 0.7521671482551678]"
449,2,manhattan,15,10,4,"[0.7460070984915705, 0.7434985552344966]"
