,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores
84,2,euclidean,6,5,4,"[0.7220496894409938, 0.6985996888197378]"
85,2,euclidean,6,10,0,"[0.748890860692103, 0.7519448766392531]"
86,2,euclidean,6,10,1,"[0.7422360248447205, 0.7492776172482774]"
87,2,euclidean,6,10,2,"[0.7471162377994676, 0.7523894198710824]"
88,2,euclidean,6,10,3,"[0.7431233362910381, 0.7437208268504112]"
89,2,euclidean,6,10,4,"[0.7442324755989352, 0.7310513447432763]"
90,2,euclidean,7,1,0,"[0.5978260869565217, 0.5714603245165593]"
91,2,euclidean,7,1,1,"[0.607586512866016, 0.5967992887308291]"
92,2,euclidean,7,1,2,"[0.6184560780834073, 0.5774616581462547]"
93,2,euclidean,7,1,3,"[0.5967169476486247, 0.5801289175372305]"
94,2,euclidean,7,1,4,"[0.5980479148181012, 0.5912424983329628]"
95,2,euclidean,7,5,0,"[0.7193877551020408, 0.6965992442765059]"
96,2,euclidean,7,5,1,"[0.7096273291925466, 0.7221604801066904]"
97,2,euclidean,7,5,2,"[0.7102928127772848, 0.7126028006223605]"
98,2,euclidean,7,5,3,"[0.6992014196983141, 0.7143809735496777]"
99,2,euclidean,7,5,4,"[0.7273735581188997, 0.6970437875083352]"
100,2,euclidean,7,10,0,"[0.748890860692103, 0.750166703711936]"
101,2,euclidean,7,10,1,"[0.75, 0.7492776172482774]"
102,2,euclidean,7,10,2,"[0.7519964507542147, 0.7503889753278506]"
103,2,euclidean,7,10,3,"[0.738243123336291, 0.7454989997777284]"
104,2,euclidean,7,10,4,"[0.7426796805678794, 0.7363858635252278]"
105,2,euclidean,8,1,0,"[0.5971606033717834, 0.5727939542120472]"
106,2,euclidean,8,1,1,"[0.6089174800354925, 0.6001333629695488]"
107,2,euclidean,8,1,2,"[0.6086956521739131, 0.5756834852189375]"
108,2,euclidean,8,1,3,"[0.5949423247559894, 0.5876861524783286]"
109,2,euclidean,8,1,4,"[0.5956078083407276, 0.5907979551011335]"
110,2,euclidean,8,5,0,"[0.7196095829636202, 0.7026005779062013]"
111,2,euclidean,8,5,1,"[0.7100709849157054, 0.7239386530340075]"
112,2,euclidean,8,5,2,"[0.7062999112688554, 0.7170482329406535]"
