,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores,Relative error
362,2,manhattan,10,1,2,"[0.6106921029281278, 0.5774616581462547]",0.057545716348594
332,2,manhattan,8,1,2,"[0.6086956521739131, 0.5754612136030229]",0.057752699548256
212,2,euclidean,15,1,2,"[0.6095829636202307, 0.5745721271393643]",0.060933753704997
167,2,euclidean,12,1,2,"[0.6106921029281278, 0.5754612136030229]",0.06122200504969
437,2,manhattan,15,1,2,"[0.6095829636202307, 0.5743498555234496]",0.061344331783057
392,2,manhattan,12,1,2,"[0.6106921029281278, 0.5752389419871082]",0.061632059920266
182,2,euclidean,13,1,2,"[0.610248447204969, 0.5747943987552789]",0.061681269905319
407,2,manhattan,13,1,2,"[0.610248447204969, 0.5745721271393643]",0.062091978326946
197,2,euclidean,14,1,2,"[0.610248447204969, 0.5730162258279617]",0.064975858795638
422,2,manhattan,14,1,2,"[0.610248447204969, 0.5727939542120472]",0.065389120673324
92,2,euclidean,7,1,2,"[0.6184560780834073, 0.5774616581462547]",0.070990721823422
317,2,manhattan,7,1,2,"[0.6184560780834073, 0.5772393865303401]",0.071403117172603
62,2,euclidean,5,1,2,"[0.6024844720496895, 0.5605690153367415]",0.074773053033923
287,2,manhattan,5,1,2,"[0.6024844720496895, 0.5605690153367415]",0.074773053033923
302,2,manhattan,6,1,2,"[0.6051464063886424, 0.5610135585685708]",0.078666276680865
77,2,euclidean,6,1,2,"[0.6051464063886424, 0.5610135585685708]",0.078666276680865
272,2,manhattan,4,1,2,"[0.5940550133096717, 0.5505667926205824]",0.078988092402185
47,2,euclidean,4,1,2,"[0.5940550133096717, 0.5505667926205824]",0.078988092402185
32,2,euclidean,3,1,2,"[0.592058562555457, 0.5472327183818626]",0.081913677066207
257,2,manhattan,3,1,2,"[0.592058562555457, 0.5472327183818626]",0.081913677066207
378,2,manhattan,11,1,3,"[0.5969387755102041, 0.5947988441875972]",0.003597739544248
153,2,euclidean,11,1,3,"[0.5971606033717834, 0.5947988441875972]",0.003970685564146
303,2,manhattan,6,1,3,"[0.5858473824312334, 0.5830184485441209]",0.004852220189904
78,2,euclidean,6,1,3,"[0.5860692102928128, 0.5830184485441209]",0.005232701909022
