,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores,Relative error
415,2,manhattan,13,10,0,"[0.748890860692103, 0.7499444320960214]",0.001404865959167
100,2,euclidean,7,10,0,"[0.748890860692103, 0.750166703711936]",0.001700745998883
325,2,manhattan,7,10,0,"[0.748890860692103, 0.750166703711936]",0.001700745998883
10,2,euclidean,1,10,0,"[0.751109139307897, 0.7523894198710824]",0.001701619572754
235,2,manhattan,1,10,0,"[0.751109139307897, 0.7523894198710824]",0.001701619572754
340,2,manhattan,8,10,0,"[0.748890860692103, 0.7506112469437652]",0.002291980380879
115,2,euclidean,8,10,0,"[0.748890860692103, 0.7506112469437652]",0.002291980380879
385,2,manhattan,11,10,0,"[0.748890860692103, 0.7506112469437652]",0.002291980380879
160,2,euclidean,11,10,0,"[0.748890860692103, 0.7506112469437652]",0.002291980380879
430,2,manhattan,14,10,0,"[0.748890860692103, 0.7506112469437652]",0.002291980380879
445,2,manhattan,15,10,0,"[0.748890860692103, 0.7506112469437652]",0.002291980380879
70,2,euclidean,5,10,0,"[0.75, 0.7523894198710824]",0.003175775480059
295,2,manhattan,5,10,0,"[0.75, 0.7523894198710824]",0.003175775480059
130,2,euclidean,9,10,0,"[0.7484472049689441, 0.75083351855968]",0.003178219314601
355,2,manhattan,9,10,0,"[0.7484472049689441, 0.75083351855968]",0.003178219314601
145,2,euclidean,10,10,0,"[0.7484472049689441, 0.75083351855968]",0.003178219314601
370,2,manhattan,10,10,0,"[0.7484472049689441, 0.75083351855968]",0.003178219314601
85,2,euclidean,6,10,0,"[0.748890860692103, 0.7519448766392531]",0.004061489135746
310,2,manhattan,6,10,0,"[0.748890860692103, 0.7519448766392531]",0.004061489135746
40,2,euclidean,3,10,0,"[0.7480035492457853, 0.7512780617915092]",0.004358589332311
265,2,manhattan,3,10,0,"[0.7480035492457853, 0.7512780617915092]",0.004358589332311
250,2,manhattan,2,10,0,"[0.7491126885536823, 0.7452767281618138]",0.005147028274088
25,2,euclidean,2,10,0,"[0.7491126885536823, 0.7452767281618138]",0.005147028274088
101,2,euclidean,7,10,1,"[0.75, 0.7492776172482774]",0.000964105606645
326,2,manhattan,7,10,1,"[0.75, 0.7490553456323628]",0.001261127596439
116,2,euclidean,8,10,1,"[0.7497781721384206, 0.7486108024005335]",0.001559381368989
341,2,manhattan,8,10,1,"[0.7495563442768411, 0.7483885307846188]",0.001560437452185
416,2,manhattan,13,10,1,"[0.7475598935226264, 0.748833074016448]",0.001700219365302
191,2,euclidean,13,10,1,"[0.7477817213842058, 0.7490553456323628]",0.001700307267792
131,2,euclidean,9,10,1,"[0.7497781721384206, 0.7481662591687042]",0.002154484982399
356,2,manhattan,9,10,1,"[0.7495563442768411, 0.7479439875527895]",0.002155718544282
146,2,euclidean,10,10,1,"[0.748890860692103, 0.7506112469437652]",0.002291980380879
371,2,manhattan,10,10,1,"[0.7486690328305236, 0.7503889753278506]",0.002292067919276
176,2,euclidean,12,10,1,"[0.7480035492457853, 0.75083351855968]",0.003769103594793
161,2,euclidean,11,10,1,"[0.7477817213842058, 0.7506112469437652]",0.003769628514201
401,2,manhattan,12,10,1,"[0.7477817213842058, 0.7506112469437652]",0.003769628514201
386,2,manhattan,11,10,1,"[0.7475598935226264, 0.7503889753278506]",0.003770153744581
206,2,euclidean,14,10,1,"[0.7477817213842058, 0.7510557901755945]",0.004359288396703
221,2,euclidean,15,10,1,"[0.7477817213842058, 0.7510557901755945]",0.004359288396703
431,2,manhattan,14,10,1,"[0.7475598935226264, 0.75083351855968]",0.004359987874986
446,2,manhattan,15,10,1,"[0.7475598935226264, 0.75083351855968]",0.004359987874986
236,2,manhattan,1,10,1,"[0.7482253771073647, 0.7441653700822405]",0.005455786023308
11,2,euclidean,1,10,1,"[0.7482253771073647, 0.7441653700822405]",0.005455786023308
281,2,manhattan,4,10,1,"[0.7424578527062999, 0.7486108024005335]",0.008219156969821
56,2,euclidean,4,10,1,"[0.7424578527062999, 0.7486108024005335]",0.008219156969821
296,2,manhattan,5,10,1,"[0.7422360248447205, 0.7490553456323628]",0.009103894428369
311,2,manhattan,6,10,1,"[0.7422360248447205, 0.7490553456323628]",0.009103894428369
266,2,manhattan,3,10,1,"[0.7415705412599822, 0.7483885307846188]",0.009110227167015
71,2,euclidean,5,10,1,"[0.7422360248447205, 0.7492776172482774]",0.009397841656364
86,2,euclidean,6,10,1,"[0.7422360248447205, 0.7492776172482774]",0.009397841656364
41,2,euclidean,3,10,1,"[0.7415705412599822, 0.7486108024005335]",0.009404434344222
251,2,manhattan,2,10,1,"[0.7411268855368234, 0.7506112469437652]",0.012635517314134
26,2,euclidean,2,10,1,"[0.7411268855368234, 0.7506112469437652]",0.012635517314134
117,2,euclidean,8,10,2,"[0.7502218278615794, 0.7503889753278506]",0.000222747763849
132,2,euclidean,9,10,2,"[0.7495563442768411, 0.7499444320960214]",0.000517488766595
342,2,manhattan,8,10,2,"[0.75, 0.7503889753278506]",0.00051836492891
372,2,manhattan,10,10,2,"[0.7504436557231589, 0.7499444320960214]",0.000665680823501
147,2,euclidean,10,10,2,"[0.7504436557231589, 0.7499444320960214]",0.000665680823501
357,2,manhattan,9,10,2,"[0.7493345164152617, 0.7499444320960214]",0.000813281164119
327,2,manhattan,7,10,2,"[0.7517746228926353, 0.7503889753278506]",0.001846572391578
102,2,euclidean,7,10,2,"[0.7519964507542147, 0.7503889753278506]",0.002142189556639
162,2,euclidean,11,10,2,"[0.7517746228926353, 0.7492776172482774]",0.003332550695333
417,2,manhattan,13,10,2,"[0.7508873114463177, 0.7483885307846188]",0.003338881555386
192,2,euclidean,13,10,2,"[0.7519964507542147, 0.7490553456323628]",0.003926418974247
387,2,manhattan,11,10,2,"[0.7517746228926353, 0.748833074016448]",0.003928177024033
177,2,euclidean,12,10,2,"[0.7517746228926353, 0.748833074016448]",0.003928177024033
432,2,manhattan,14,10,2,"[0.7508873114463177, 0.7479439875527895]",0.003935219672209
447,2,manhattan,15,10,2,"[0.7508873114463177, 0.7479439875527895]",0.003935219672209
402,2,manhattan,12,10,2,"[0.7517746228926353, 0.7481662591687042]",0.004822943670222
207,2,euclidean,14,10,2,"[0.7519964507542147, 0.7481662591687042]",0.00511943907998
222,2,euclidean,15,10,2,"[0.7519964507542147, 0.7481662591687042]",0.00511943907998
312,2,manhattan,6,10,2,"[0.7471162377994676, 0.7521671482551678]",0.00671514365845
87,2,euclidean,6,10,2,"[0.7471162377994676, 0.7523894198710824]",0.007008580839053
267,2,manhattan,3,10,2,"[0.7453416149068323, 0.7512780617915092]",0.007901797199456
42,2,euclidean,3,10,2,"[0.7453416149068323, 0.7515003334074238]",0.008195230563195
282,2,manhattan,4,10,2,"[0.7453416149068323, 0.7521671482551678]",0.009074490110568
297,2,manhattan,5,10,2,"[0.7453416149068323, 0.7521671482551678]",0.009074490110568
57,2,euclidean,4,10,2,"[0.7453416149068323, 0.7523894198710824]",0.009367230290742
72,2,euclidean,5,10,2,"[0.7453416149068323, 0.7523894198710824]",0.009367230290742
252,2,manhattan,2,10,2,"[0.734472049689441, 0.7454989997777284]",0.014791368052238
27,2,euclidean,2,10,2,"[0.734472049689441, 0.7454989997777284]",0.014791368052238
237,2,manhattan,1,10,2,"[0.7287045252883763, 0.7523894198710824]",0.031479568900324
12,2,euclidean,1,10,2,"[0.7287045252883763, 0.7523894198710824]",0.031479568900324
73,2,euclidean,5,10,3,"[0.7433451641526175, 0.7437208268504112]",0.000505112515653
88,2,euclidean,6,10,3,"[0.7431233362910381, 0.7437208268504112]",0.000803380163365
298,2,manhattan,5,10,3,"[0.7433451641526175, 0.7441653700822405]",0.001102182340912
313,2,manhattan,6,10,3,"[0.7431233362910381, 0.7441653700822405]",0.001400271812013
58,2,euclidean,4,10,3,"[0.7422360248447205, 0.7434985552344966]",0.001698093938297
283,2,manhattan,4,10,3,"[0.7422360248447205, 0.7439430984663259]",0.002294629287004
193,2,euclidean,13,10,3,"[0.7468944099378882, 0.75083351855968]",0.005246314295276
418,2,manhattan,13,10,3,"[0.7468944099378882, 0.7521671482551678]",0.007010061964965
268,2,manhattan,3,10,3,"[0.7424578527062999, 0.7372749499888864]",0.007029809866037
28,2,euclidean,2,10,3,"[0.7377994676131322, 0.7432762836185819]",0.007368479428385
43,2,euclidean,3,10,3,"[0.7424578527062999, 0.7368304067570571]",0.007637369329003
253,2,manhattan,2,10,3,"[0.7377994676131322, 0.7437208268504112]",0.007961803708463
103,2,euclidean,7,10,3,"[0.738243123336291, 0.7454989997777284]",0.009732912376275
328,2,manhattan,7,10,3,"[0.738243123336291, 0.7459435430095577]",0.010323059627541
163,2,euclidean,11,10,3,"[0.7426796805678794, 0.75083351855968]",0.010859714957108
223,2,euclidean,15,10,3,"[0.7422360248447205, 0.75083351855968]",0.011450599237301
208,2,euclidean,14,10,3,"[0.7420141969831411, 0.75083351855968]",0.011746041377397
388,2,manhattan,11,10,3,"[0.7426796805678794, 0.7519448766392531]",0.012321642661871
178,2,euclidean,12,10,3,"[0.7411268855368234, 0.75083351855968]",0.012927809937783
448,2,manhattan,15,10,3,"[0.7422360248447205, 0.7521671482551678]",0.013203346401774
433,2,manhattan,14,10,3,"[0.7420141969831411, 0.7521671482551678]",0.013498264708289
358,2,manhattan,9,10,3,"[0.7384649511978705, 0.7492776172482774]",0.014430787469825
133,2,euclidean,9,10,3,"[0.7384649511978705, 0.7492776172482774]",0.014430787469825
403,2,manhattan,12,10,3,"[0.7411268855368234, 0.7521671482551678]",0.014677937934348
13,2,euclidean,1,10,3,"[0.7386867790594499, 0.7497221604801066]",0.014719294696571
238,2,manhattan,1,10,3,"[0.7386867790594499, 0.7497221604801066]",0.014719294696571
118,2,euclidean,8,10,3,"[0.7384649511978705, 0.750166703711936]",0.015598869499491
343,2,manhattan,8,10,3,"[0.7384649511978705, 0.7506112469437652]",0.016181872834107
148,2,euclidean,10,10,3,"[0.7384649511978705, 0.7521671482551678]",0.018216957612524
373,2,manhattan,10,10,3,"[0.7384649511978705, 0.7526116914869971]",0.018796864902771
209,2,euclidean,14,10,4,"[0.7440106477373558, 0.7439430984663259]",9.07989753103118E-05
44,2,euclidean,3,10,4,"[0.7362466725820763, 0.7361635919093131]",0.000112856264119
269,2,manhattan,3,10,4,"[0.7362466725820763, 0.7361635919093131]",0.000112856264119
224,2,euclidean,15,10,4,"[0.7440106477373558, 0.7437208268504112]",0.000389690427485
194,2,euclidean,13,10,4,"[0.7437888198757764, 0.7443876416981552]",0.000804448903817
419,2,manhattan,13,10,4,"[0.7457852706299911, 0.7441653700822405]",0.002176801841198
434,2,manhattan,14,10,4,"[0.7460070984915705, 0.7437208268504112]",0.003074099256897
149,2,euclidean,10,10,4,"[0.7426796805678794, 0.7403867526116915]",0.003096932715368
449,2,manhattan,15,10,4,"[0.7460070984915705, 0.7434985552344966]",0.00337397193231
164,2,euclidean,11,10,4,"[0.7431233362910381, 0.7403867526116915]",0.003696154300024
179,2,euclidean,12,10,4,"[0.743566992014197, 0.7403867526116915]",0.004295375884681
374,2,manhattan,10,10,4,"[0.7440106477373558, 0.7403867526116915]",0.004894597469338
389,2,manhattan,11,10,4,"[0.7444543034605147, 0.7403867526116915]",0.005493819053994
119,2,euclidean,8,10,4,"[0.7404614019520852, 0.7361635919093131]",0.005838118171024
344,2,manhattan,8,10,4,"[0.7404614019520852, 0.7359413202933985]",0.006141904978083
359,2,manhattan,9,10,4,"[0.7406832298136646, 0.7357190486774838]",0.006747386988422
134,2,euclidean,9,10,4,"[0.7406832298136646, 0.7357190486774838]",0.006747386988422
404,2,manhattan,12,10,4,"[0.7455634427684117, 0.7403867526116915]",0.006991873015636
299,2,manhattan,5,10,4,"[0.7366903283052352, 0.7314958879751056]",0.007101120341918
74,2,euclidean,5,10,4,"[0.7366903283052352, 0.7314958879751056]",0.007101120341918
59,2,euclidean,4,10,4,"[0.7360248447204969, 0.7308290731273617]",0.007109421045473
284,2,manhattan,4,10,4,"[0.7360248447204969, 0.7308290731273617]",0.007109421045473
104,2,euclidean,7,10,4,"[0.7426796805678794, 0.7363858635252278]",0.008546900958312
329,2,manhattan,7,10,4,"[0.7426796805678794, 0.7361635919093131]",0.0088514139115
254,2,manhattan,2,10,4,"[0.7477817213842058, 0.7399422093798622]",0.010594762543569
29,2,euclidean,2,10,4,"[0.7477817213842058, 0.7399422093798622]",0.010594762543569
314,2,manhattan,6,10,4,"[0.7442324755989352, 0.7310513447432763]",0.018030376320952
89,2,euclidean,6,10,4,"[0.7442324755989352, 0.7310513447432763]",0.018030376320952
14,2,euclidean,1,10,4,"[0.751109139307897, 0.7266059124249833]",0.03372285645342
239,2,manhattan,1,10,4,"[0.751109139307897, 0.7266059124249833]",0.03372285645342
